Deal;Date;Metric;Value;Threshold;Relationship;Status
FIDC Capim;31/10/2023;Liquidity Ratio;37.25;1;>=;OK
FIDC Capim;30/11/2023;Liquidity Ratio;43.05;1;>=;OK
FIDC Capim;31/12/2023;Liquidity Ratio;64.46;1;>=;OK
FIDC Capim;31/01/2024;Liquidity Ratio;55.82;1;>=;OK
FIDC Capim;29/02/2024;Liquidity Ratio;63.41;1;>=;OK
FIDC Capim;31/03/2024;Liquidity Ratio;70.32;1;>=;OK
FIDC Capim;30/04/2024;Liquidity Ratio;90.71;1;>=;OK
FIDC Capim;31/05/2024;Liquidity Ratio;76.21;1;>=;OK
FIDC Capim;30/06/2024;Liquidity Ratio;60.46;1;>=;OK
FIDC Capim;31/07/2024;Liquidity Ratio;45.38;1;>=;OK
FIDC Capim;31/08/2024;Liquidity Ratio;37.11;1;>=;OK
FIDC Capim;30/09/2024;Liquidity Ratio;30.45;1;>=;OK
FIDC Capim;31/10/2024;Liquidity Ratio;39.44;1;>=;OK
FIDC Capim;30/11/2024;Liquidity Ratio;41.54;1;>=;OK
FIDC Capim;31/12/2024;Liquidity Ratio;40.95;1;>=;OK
FIDC Capim;31/01/2025;Liquidity Ratio;45.41;1;>=;OK
FIDC Capim;28/02/2025;Liquidity Ratio;48.1;1;>=;OK
FIDC Capim;31/03/2025;Liquidity Ratio;46.8;1;>=;OK
FIDC Capim;31/10/2023;Cancellation rate;0.005;0.05;<=;OK
FIDC Capim;30/11/2023;Cancellation rate;0.0053;0.05;<=;OK
FIDC Capim;31/12/2023;Cancellation rate;0.0037;0.05;<=;OK
FIDC Capim;31/01/2024;Cancellation rate;0.0018;0.05;<=;OK
FIDC Capim;29/02/2024;Cancellation rate;0.0052;0.05;<=;OK
FIDC Capim;31/03/2024;Cancellation rate;0.003;0.05;<=;OK
FIDC Capim;30/04/2024;Cancellation rate;0.0028;0.05;<=;OK
FIDC Capim;31/05/2024;Cancellation rate;0.0028;0.05;<=;OK
FIDC Capim;30/06/2024;Cancellation rate;0.0031;0.05;<=;OK
FIDC Capim;31/07/2024;Cancellation rate;0.0039;0.05;<=;OK
FIDC Capim;31/08/2024;Cancellation rate;0.0035;0.05;<=;OK
FIDC Capim;30/09/2024;Cancellation rate;0.0025;0.05;<=;OK
FIDC Capim;31/10/2024;Cancellation rate;0.0029;0.05;<=;OK
FIDC Capim;30/11/2024;Cancellation rate;0.0027;0.05;<=;OK
FIDC Capim;31/12/2024;Cancellation rate;0.0017;0.05;<=;OK
FIDC Capim;31/01/2025;Cancellation rate;0.0018;0.05;<=;OK
FIDC Capim;28/02/2025;Cancellation rate;0.0035;0.05;<=;OK
FIDC Capim;31/03/2025;Cancellation rate;0.0021;0.05;<=;OK
FIDC Capim;31/10/2023;Cash reserve;181280.62;181280.62;>=;OK
FIDC Capim;30/11/2023;Cash reserve;206983.98;181281.62;>=;OK
FIDC Capim;31/12/2023;Cash reserve;239991.96;181282.62;>=;OK
FIDC Capim;31/01/2024;Cash reserve;257860.66;181283.62;>=;OK
FIDC Capim;29/02/2024;Cash reserve;278297.07;181284.62;>=;OK
FIDC Capim;31/03/2024;Cash reserve;305209.1;181285.62;>=;OK
FIDC Capim;30/04/2024;Cash reserve;350624.77;181286.62;>=;OK
FIDC Capim;31/05/2024;Cash reserve;351950.71;181287.62;>=;OK
FIDC Capim;30/06/2024;Cash reserve;350267.56;181288.62;>=;OK
FIDC Capim;31/07/2024;Cash reserve;351512.28;181289.62;>=;OK
FIDC Capim;31/08/2024;Cash reserve;351961.24;181290.62;>=;OK
FIDC Capim;30/09/2024;Cash reserve;352915.75;181291.62;>=;OK
FIDC Capim;31/10/2024;Cash reserve;385506.34;181292.62;>=;OK
FIDC Capim;30/11/2024;Cash reserve;396683.97;181293.62;>=;OK
FIDC Capim;31/12/2024;Cash reserve;404918.59;181294.62;>=;OK
FIDC Capim;31/01/2025;Cash reserve;420779.13;181295.62;>=;OK
FIDC Capim;28/02/2025;Cash reserve;431060.16;181296.62;>=;OK
FIDC Capim;31/03/2025;Cash reserve;443094.01;181297.62;>=;OK
FIDC Capim;31/10/2023;Loss Index;0.0195;0.12;<=;OK
FIDC Capim;30/11/2023;Loss Index;0.0314;0.12;<=;OK
FIDC Capim;31/12/2023;Loss Index;0.0366;0.12;<=;OK
FIDC Capim;31/01/2024;Loss Index;0.0421;0.12;<=;OK
FIDC Capim;29/02/2024;Loss Index;0.0486;0.12;<=;OK
FIDC Capim;31/03/2024;Loss Index;0.0594;0.12;<=;OK
